purchase_datetime,player_id,item,price,purchase_id
2019-01-01 00:15:54,2434d4ef-7949-4311-a9e6-9263e2ea2b7c,armour,0.1,10423
2019-01-01 00:16:56,1ecd854d-f707-44a2-b174-0c0039668650,life,0.3,10424
2019-01-01 00:56:17,1156b1a0-732b-4732-ab41-79f77cd0e719,life,0.3,10425
2019-01-01 00:58:17,1f7b30f3-26ac-45bd-82b4-30fad1d1398d,armour,0.1,10426
2019-01-01 01:15:42,4697efd3-15b2-4f40-84fb-7e5c65e390c9,armour,0.1,10427
2019-01-01 01:16:46,8e5d5901-b6eb-4c47-9a35-21878d0a25ba,mana,0.2,10428
2019-01-01 01:24:40,060a1cee-8346-478f-b7ea-0286392512b3,life,0.3,10429
2019-01-01 01:43:49,4763379d-d3cb-4536-927b-07f9a004d523,mana,0.2,10430
2019-01-01 01:48:47,0f8cc412-1e70-40f4-9f2d-40a65f943378,mana,0.2,10431
2019-01-01 01:51:21,7e055271-dcd5-450c-bf32-919d5e21cc9b,life,0.3,10432
2019-01-01 01:55:51,66cd185b-cfcd-4609-bfaf-7b075164d2de,armour,0.1,10433
2019-01-01 01:56:37,ff904716-25ec-496c-b761-4241165f8f6c,armour,0.1,10434
2019-01-01 02:01:35,2db3993f-a051-4f5b-a169-0e795f3d7fbf,mana,0.2,10435
2019-01-01 02:09:09,d49955ff-e6a9-4fdf-8d23-7b0ddfadf575,life,0.3,10436
2019-01-01 03:10:42,f142cfd4-c657-4966-87a9-34edfd40966f,life,0.3,10437
2019-01-01 04:07:40,9fa8304d-205e-473b-8b93-292904309219,armour,0.1,10438
2019-01-01 04:08:40,8acafc08-3481-45da-822c-8460a4b4e71f,life,0.3,10439
2019-01-01 04:17:34,8ae8f1b7-ba91-42aa-8edf-90be59d8913e,life,0.3,10440
2019-01-01 04:22:25,ce9b78c5-5e84-48fd-8a7c-3066afe1b856,mana,0.2,10441
2019-01-01 04:39:11,3774228e-929b-456b-b551-54a045bd834d,mana,0.2,10442
2019-01-01 04:42:51,636c3276-0547-49a4-9ad3-83eff73d77ac,armour,0.1,10443
